runQuery,word,definition,synonyms,part,sourceType,sourceDetail,dateEncountered,isMemorised,difficulty
1,Vertiginous,,,,,,Merriam Webster,Word of the day,2026,FALSE,
0,Riparian,"of or relating to or located on the banks of a river or stream",", , ","adjective",Person,Forrest,2026,FALSE,6
0,Souced,"1: (of food especially fish) preserved in a pickling solution or a marinade. 2: drunk","pickled, marinated, soaked, steeped, drunk ","adjective",Book,,2025,TRUE,undefined
0,Pariah,"1: A person who is rejected (from society or home). 2: A member of a group of castes concentrated in the Indian states of Kerala and Tamil Nadu and in Sri Lanka, included among the Scheduled Castes or Dalits ","outcast, persona non grata, leper, reject, untouchable, undesirable. ","noun",Book,,2025,TRUE,9
0,Atavistic,"relating to or characterized by reversion to something ancient or ancestral ","ancient, old, very old, age-old, antediluvian, timeless, dateless, archaic, long-standing, long-lived, time-worn, time-honoured ","adjective",Book,,2025,FALSE,10
0,In toto,"as a whole","completely, totally, entirely, absolutely","adverb",Book,Non-fiction,2025,FALSE,undefined
0,Beseech,"ask (someone) urgently and fervently to do something; implore; entreat ","implore, beg, entreat, ","verb",Book,,2025,FALSE,8
0,Proselytising,"the action of attempting to convert someone from one religion, belief, or opinion to another. no amount of proselytizing was going to change their minds","","noun",Book,Fiction,2026,TRUE,10
0,Phlegmatic,"1: Resembling, consisting of, or producing the humor phlegm. 2: Having or showing a slow and stolid temperament","apathetic, sluggish, cold-blooded, unflappable, stoic","adjective",Book,,2025,FALSE,10
0,Bucolic,"a country person.  a short poem descriptive of rural or pastoral life,idyllically rustic.  relating to shepherds or herdsmen or devoted to raising sheep or cattle","rustic, pastoral","noun,adjective",Book,Fiction,2026,FALSE,9
0,Ecclesiastical,"of or associated with a church (especially a Christian Church)",", ecclesiastic, ecclesiastic","adjective", Person, Forrest,2026, FALSE,7
0,Propriety,"correct or appropriate behavior","deportment, demeanour, demeanor, conduct, behaviour, behavior, properness, proper, improper, correctitude, ","noun",Book,Non-fiction,2025,FALSE,7
0,Numinous,"evincing the presence of a deity.  of or relating to or characteristic of a numen",", sacred, ","adjective",Book,Non-fiction,2025,FALSE,10
0,Self-abnegation,"renunciation of your own interests in favor of the interests of others","selflessness, self-sacrifice, renunciation, forswearing, forgoing, self-renunciation, self-denial, denial, abnegation, ","noun",Book,Non-fiction,2025,FALSE,undefined
0,Ataraxy,"a state of serene calmness ","self-control, self-possession, self-command, calmness, ","noun",Book,Non-fiction,2025,FALSE,undefined
0,Asseverate,"state categorically","take a firm stand, insist, maintain, assert, ","verb",Book,Non-fiction,2025,FALSE,10
0,Putative,"purported; commonly put forth or accepted as true on inconclusive grounds",", acknowledged, ostensible, purported, reputed, supposed","adjective",Book,Non-fiction,2025,FALSE,5
0,Concomitant,"an event or situation that happens at the same time as or in connection with another,following or accompanying as a consequence","occurrent, occurrence, natural event, happening, subsequent, sequent, resultant, incidental, ensuant, consequent, co-occurrence, attendant, accompanying, accompaniment, accompanying, adjoining, attendant, incidental, accompaniment, co-occurrence","noun,adjective",Book,Non-fiction,2025,FALSE,7
0,Eschatological,"of or relating to or dealing with or regarding the ultimate destiny of mankind and the world",", , ","adjective",Book,Non-fiction,2025,FALSE,9
0,Wan,"a computer network that spans a wider area than does a local area network,become pale and sickly,lacking in intensity or brightness; dim or feeble.  abnormally deficient in color as suggesting physical or emotional distress.  lacking vitality as from weariness or illness or unhappiness","sicken, computer network, come down, wide area network, weak, unanimated, sick, pallid, pale, colourless, colorless, ","noun,verb,adjective",Book,,2025,TRUE,7
0,Praxis,"translating an idea into action","implementation, effectuation, practice, ","noun",Book,,2025,FALSE,9
0,Interlocutor,"the performer in the middle of a minstrel line who engages the others in talk.  a person who takes part in a conversation","schmoozer, minstrel, conversationist, conversationalist, middleman, conversational partner, ","noun",Book,,2025,FALSE,9
0,Reticence,"the trait of being uncommunicative; not volunteering anything more than necessary","uncommunicativeness, taciturnity, reserve, reserve, secrecy, taciturnity, bashfulness, demureness, diffidence, quietness, reservation, shyness, timidity","noun",Book,,2025,FALSE,9
0,Coquette,"a seductive woman who uses her sex appeal to exploit men,talk or behave amorously. without serious intentions","woman, talk, speak, adult female, vamper, vamp, tease, romance, prickteaser, philander, minx, mash, flirt, dally, coquet, chat up, butterfly, ","noun,verb",Book,,2025,FALSE,10
0,Aegis,"kindly endorsement and guidance.  armor plate that protects the chest; the front part of a cuirass","plate armour, plate armor, indorsement, endorsement, armour plate, armor plating, armor plate, protection, egis, breastplate, auspices, ","noun",Book,,2025,TRUE,8
0,Alacrity,"liveliness and eagerness","sprightliness, spirit, liveliness, life, smartness, briskness, avidity, eagerness, enthusiasm, willingness, briskness, celerity, haste, promptness, quickness, swiftness","noun",Book,,2025,FALSE,9
0,Precipitous,"done with very great haste and without due deliberation- Shakespeare- Arthur Geddes.  extremely steep",", steep, sharp, precipitate, precipitant, overhasty, hurried, hasty, abrupt, ","adjective",Book,,2025,FALSE,9
0,Dais,"a platform raised above the surrounding level to give prominence to the person on it","platform, stump, soapbox, rostrum, pulpit, podium, ambo, ","noun",Book,Fiction,2026,TRUE,9
0,Profligacy,"the trait of spending extravagantly.  dissolute indulgence in sensual pleasure","shortsightedness, self-indulgence, intemperateness, intemperance, improvidence, prodigality, looseness, licentiousness, extravagance, dissolution, dissipation, ","noun",Book,,2026,FALSE,10
0,Nexus,"the means of connection between things linked in series.  a connected series or group","series, linkage, link, bond, link, tie","noun",Book,,2025,FALSE,7
0,Approbation,"official approval.  official recognition or approval","commendation, approval, , approval, approve, concurrence, consent, liking, sanction, praise","noun",Book,,2025,FALSE,8
0,Fecundity,"the intellectual productivity of a creative imagination.  the state of being fertile; capable of producing offspring.  the quality of something that causes or assists healthy growth","quality, physiological state, physiological condition, physical condition, creativity, creativeness, creative thinking, unfertile, sterile, infertile, fruitfulness, fertility, fertile, fertility","noun",Book,,2025,FALSE,9
0,Recondite,"difficult to penetrate; incomprehensible to one of ordinary understanding or knowledge",", esoteric, deep, abstruse, ","adjective",Book,,2025,FALSE,10
0,Nascent,"being born or beginning",", parturient, emerging, emergent, dissilient, emergent, emerging, immature, inchoate, incipient, young","adjective",Book,,2025,FALSE,7
0,Copse,"a dense growth of bushes","vegetation, flora, botany, thicket, coppice, brushwood, brush, ","noun",Book,Fiction,2025,TRUE,10
0,Derisive,"abusing vocally; expressing contempt or ridicule",", taunting, mocking, jeering, gibelike, disrespectful, mocking, ridiculing, ridiculous","adjective",Book,,2025,FALSE,10
0,Compunction,"a feeling of deep regret (usually for some misdeed)","sorrow, ruefulness, rue, regret, self-reproach, remorse, regret, remorse, qualm, remorse","noun",Book,,2025,FALSE,10
0,Ministration,"assistance in time of difficulty","help, assistance, assist, aid, succour, succor, relief, ","noun",Book,,2025,FALSE,9
0,Acme,"the highest level or degree attainable; the highest stage of development.  the highest point (of something)","stage, point, level, extremum, extreme point, extreme, degree, vertex, top, tiptop, superlative, summit, pinnacle, peak, meridian, height, elevation, apex, apex","noun",Book,,2025,TRUE,8
0,Hitherto,"used in negative statement to describe a situation that has existed up to this point or up to the present time",", yet, up to now, until now, til now, thus far, so far, heretofore, as yet, ","adverb",Book,,2025,TRUE,6
0,Equivocate,"be deliberately ambiguous or unclear in order to mislead or withhold information","mislead, misinform, tergiversate, prevaricate, palter, beat around the bush, prevaricate, evade, shuffle, quibble, dodge, adumbrate","verb",Book,,2025,FALSE,10
0,Capricious,"changeable.  determined by chance or impulse or whim rather than by necessity or reason",", whimsical, unpredictable, impulsive, freakish, arbitrary, whimsical, arbitrary","adjective",Book,,2025,TRUE,8
0,Supercilious,"having or showing arrogant superiority to and disdain of those one views as unworthy.  expressive of contempt",", uncomplimentary, swaggering, sniffy, snide, sneering, proud, prideful, overbearing, lordly, imperious, haughty, disdainful, arrogant","adjective",Book,,2025,FALSE,10
